«”г «бб«Џ»;«бЏг—;«бг—я“;Џѕѕ «б г—н—« ;ѕё… «б г—н—«  (%);Џѕѕ «б ”ѕнѕ« ;Џѕѕ «б√еѕ«Ё;д”»… «бдћ«Ќ Ён «бгж«ће«  (%);«б”—Џ… «бё’жм (яг/”);«бг”«Ё… «бгёЎжЏ… (яг);гЏѕб д»÷ «бёб»;д”»… «б Џ» Ён де«н… «б‘жЎ;«б ённг «бЏ«г; ’днЁ «бб«Џ»; ’днЁ «бб«Џ»2
—«я«д «б—жнбн;21;ж”Ў;23;92.38;0;1;69.96;28.22;10.68;126;43.22;6.46;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «б—жнбн;28;ѕЁ«Џ;30;72.88;5;1;77.79;24.06;8.82;121;45.40;8.67;гжеж»;гжеж»
Џ»ѕ«ббе «бЏ н»н;24;Ќ«—”;47;70.64;11;2;57.02;31.16;6.71;167;44.22;4.54;џн— гжеж»;џн— гжеж»
д«’— «б—жнбн;24;ж”Ў;72;81.48;4;0;89.66;24.69;8.11;133;17.58;7.29;џн— гжеж»;гжеж»
д«’— «бг«бян;23;ѕЁ«Џ;86;88.88;4;2;47.6;33.22;11.87;158;10.50;8.26;гжеж»;гжеж»
гЌгѕ «б‘г—н;21;ж”Ў;14;66.86;6;2;71.02;30.73;8.53;172;47.06;8.47;гжеж»;гжеж»
Џ»ѕ«ббе «бџ«гѕн;24;Ќ«—”;60;91.90;9;1;74.76;25.06;9.08;151;48.70;5.69;џн— гжеж»;џн— гжеж»
гЌгѕ «бџ«гѕн;26;ѕЁ«Џ;29;82.50;10;1;69.46;28.55;7.93;120;24.82;6.32;џн— гжеж»;џн— гжеж»
—«я«д «б—жнбн;23;ж”Ў;46;67.77;6;4;87.46;30.87;7.55;155;18.60;7.05;гжеж»;гжеж»
 —ян «бёЌЎ«дн;29;ж”Ў;20;64.16;4;1;85.93;28.37;10.57;153;11.38;5.42;џн— гжеж»;џн— гжеж»
√Ќгѕ «б“е—«дн;26;ѕЁ«Џ;41;73.22;7;4;53.14;32.73;8.47;122;38.18;8.48;гжеж»;гжеж»
Ёеѕ «бЌ—»н;25;Ќ«—”;50;94.31;9;0;60.08;31.22;10.88;170;47.50;6.97;џн— гжеж»;џн— гжеж»
—«я«д «бџ«гѕн;22;Ќ«—”;85;85.01;2;0;53.92;27.88;10.78;170;47.15;6.84;џн— гжеж»;џн— гжеж»
Ёеѕ «бёЌЎ«дн;23;ећжг;82;80.64;2;2;56.37;32.34;8.30;151;28.43;8.89;гжеж»;гжеж»
”Џжѕ «бЏд“н;17;ж”Ў;33;61.23;7;1;53.5;33.54;7.62;149;12.53;7.91;гжеж»;гжеж»
—«я«д «б“е—«дн;23;Ќ«—”;57;90.98;4;2;64.59;30.05;7.33;182;21.63;6.71;џн— гжеж»;џн— гжеж»
 —ян «бёЌЎ«дн;25;Ќ«—”;26;63.73;10;1;85.59;28.79;6.70;172;27.33;5.82;џн— гжеж»;џн— гжеж»
гЌгѕ «бЌ—»н;25;ѕЁ«Џ;39;73.79;3;1;85.3;34.60;10.65;173;19.78;8.42;гжеж»;гжеж»
гЌгѕ «б“е—«дн;18;ећжг;66;87.95;3;0;78.23;29.61;6.47;152;22.67;7.39;гжеж»;гжеж»
 —ян «б“е—«дн;18;ећжг;86;81.53;9;6;64.25;29.77;7.01;165;21.12;7.68;гжеж»;гжеж»
Џ»ѕ«ббе «бг«бян;21;Ќ«—”;29;78.20;5;4;82.33;30.93;8.54;161;14.53;5.04;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «бЏ н»н;19;ећжг;14;63.64;0;1;59.78;33.05;6.28;129;14.60;4.42;џн— гжеж»;џн— гжеж»
 —ян «бг«бян;23;ећжг;60;70.36;3;2;66.64;33.11;8.05;146;32.78;7.47;гжеж»;гжеж»
д«’— «б—жнбн;18;ж”Ў;18;86.90;8;3;52.9;27.76;7.73;145;22.76;7.23;гжеж»;гжеж»
ќ«бѕ «б—жнбн;24;ећжг;45;65.01;0;0;79.94;34.49;11.02;132;14.40;7.93;гжеж»;гжеж»
гЌгѕ «б“е—«дн;18;ѕЁ«Џ;50;68.37;2;2;67.35;28.10;7.32;167;23.73;9.71;гжеж»;гжеж»
”«бг «бг«бян;17;ѕЁ«Џ;36;62.81;1;0;50.42;29.20;6.40;126;18.75;8.93;гжеж»;гжеж»
гЌгѕ «бЏд“н;25;ѕЁ«Џ;65;68.34;9;5;55.1;30.22;10.03;167;24.25;5.38;џн— гжеж»;џн— гжеж»
гЌгѕ «б»бжн;27;ећжг;34;60.86;10;2;66.06;34.56;6.03;169;39.27;8.25;гжеж»;гжеж»
Ёеѕ «б»бжн;20;ж”Ў;52;83.57;4;1;59.11;25.24;10.66;124;29.29;7.18;гжеж»;гжеж»
√Ќгѕ «бЏд“н;24;ж”Ў;19;88.84;6;1;52.77;30.91;11.32;129;33.69;6.86;џн— гжеж»;џн— гжеж»
гЌгѕ «б»бжн;16;ж”Ў;19;78.36;3;1;43.34;26.05;9.86;156;45.53;7.50;гжеж»;гжеж»
гЌгѕ «б“е—«дн;24;Ќ«—”;67;65.43;0;0;59.56;29.74;8.18;165;41.02;5.91;џн— гжеж»;џн— гжеж»
”Џжѕ «бЌ—»н;27;ѕЁ«Џ;49;89.25;8;4;61.38;27.21;8.35;145;20.75;8.05;гжеж»;гжеж»
Џ»ѕ«ббе «бџ«гѕн;19;Ќ«—”;33;70.95;12;3;78.22;32.44;11.46;142;50.00;7.35;гжеж»;гжеж»
гЌгѕ «б“е—«дн;21;Ќ«—”;46;87.80;8;1;80.25;28.89;7.55;137;33.91;8.73;гжеж»;гжеж»
√Ќгѕ «бёЌЎ«дн;21;ећжг;57;90.87;2;0;50;27.35;9.02;139;17.89;5.21;џн— гжеж»;џн— гжеж»
√Ќгѕ «б—жнбн;24;ж”Ў;56;69.31;10;6;87.39;28.62;8.75;170;42.83;4.74;џн— гжеж»;џн— гжеж»
 —ян «б“е—«дн;27;ѕЁ«Џ;82;77.08;9;1;65.98;28.51;7.66;148;12.60;5.73;џн— гжеж»;џн— гжеж»
”«бг «б‘г—н;16;ѕЁ«Џ;8;91.42;5;0;50.07;27.60;9.29;143;26.89;8.19;гжеж»;гжеж»
√Ќгѕ «б»бжн;20;ж”Ў;94;85.69;2;2;82.87;24.42;9.19;146;31.13;5.62;џн— гжеж»;џн— гжеж»
 —ян «бЏ н»н;27;ж”Ў;65;72.04;7;3;50.04;24.09;10.63;183;21.31;5.05;џн— гжеж»;џн— гжеж»
√Ќгѕ «бёЌЎ«дн;18;ѕЁ«Џ;77;94.53;1;1;46.18;26.55;10.96;143;11.93;6.40;џн— гжеж»;џн— гжеж»
”«бг «бЏд“н;16;ж”Ў;65;80.03;12;3;57.15;29.50;9.76;159;20.65;6.40;џн— гжеж»;џн— гжеж»
Ёеѕ «бџ«гѕн;20;ж”Ў;56;77.28;8;2;47.65;24.54;5.97;180;35.75;4.97;џн— гжеж»;џн— гжеж»
”Џжѕ «б“е—«дн;25;ећжг;25;84.33;1;1;44.29;31.58;8.16;179;49.20;7.09;џн— гжеж»;гжеж»
д«’— «бЌ—»н;18;ж”Ў;57;91.06;8;3;87.09;31.28;7.86;153;36.71;9.82;гжеж»;гжеж»
—«я«д «бЏ н»н;24;Ќ«—”;64;63.34;0;0;75.47;30.45;7.98;133;18.41;9.44;гжеж»;гжеж»
√Ќгѕ «бџ«гѕн;25;ж”Ў;13;73.67;7;2;78.72;30.79;9.81;123;21.86;7.82;гжеж»;гжеж»
√Ќгѕ «б“е—«дн;21;ѕЁ«Џ;23;64.40;8;0;75.36;23.83;8.12;172;26.19;7.25;џн— гжеж»;гжеж»
 —ян «б—жнбн;20;ж”Ў;49;72.70;8;1;42.21;29.29;7.17;132;48.80;8.96;гжеж»;гжеж»
√Ќгѕ «бЏд“н;27;Ќ«—”;45;77.64;0;0;88.98;26.42;8.80;145;41.36;6.83;џн— гжеж»;џн— гжеж»
”«бг «б»бжн;24;ећжг;89;68.97;6;2;61.65;30.84;11.12;124;32.61;7.90;гжеж»;гжеж»
”Џжѕ «б“е—«дн;22;ећжг;18;81.50;5;1;72.79;25.99;11.07;170;37.16;7.56;гжеж»;гжеж»
гЌгѕ «бёЌЎ«дн;24;ећжг;32;86.14;1;3;47.27;24.49;9.36;172;20.67;4.61;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «б‘г—н;23;Ќ«—”;32;92.58;7;0;60.68;28.10;9.56;164;43.89;5.87;џн— гжеж»;џн— гжеж»
ќ«бѕ «б—жнбн;24;Ќ«—”;35;67.78;5;0;70.59;28.30;9.09;127;19.26;8.78;гжеж»;гжеж»
”Џжѕ «бЏ н»н;20;ж”Ў;15;70.32;9;2;43.36;27.00;11.07;152;14.54;6.95;гжеж»;џн— гжеж»
Ёеѕ «б—жнбн;15;Ќ«—”;91;72.54;7;0;50.65;33.15;7.01;164;21.54;6.80;џн— гжеж»;џн— гжеж»
—«я«д «б»бжн;25;ж”Ў;26;83.95;4;0;81.29;31.93;9.53;126;20.75;9.12;гжеж»;гжеж»
”Џжѕ «б“е—«дн;19;ж”Ў;52;79.82;2;1;81.19;32.88;10.48;163;43.91;4.88;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «бЌ—»н;18;ећжг;76;72.89;0;0;86.75;28.22;10.87;174;22.22;8.33;гжеж»;гжеж»
”«бг «бЏ н»н;25;ећжг;78;88.04;9;2;63.17;25.08;7.49;151;31.82;9.57;гжеж»;гжеж»
Ёеѕ «б»бжн;19;ж”Ў;42;92.74;2;0;68.86;28.70;10.37;129;32.38;7.61;гжеж»;гжеж»
гЌгѕ «бЏ н»н;25;ећжг;10;72.28;5;3;81.7;26.41;9.10;162;33.58;7.76;гжеж»;гжеж»
гЌгѕ «б“е—«дн;25;ж”Ў;48;74.62;0;1;61.18;24.88;8.48;150;43.33;5.44;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «б“е—«дн;23;ећжг;15;89.62;1;0;68.02;26.48;11.36;138;20.48;9.07;гжеж»;гжеж»
—«я«д «бЏд“н;21;ећжг;34;77.84;2;1;67.49;25.30;8.57;179;13.60;7.27;гжеж»;гжеж»
ќ«бѕ «б»бжн;16;ж”Ў;46;93.76;3;0;60.97;32.48;9.22;132;12.70;5.07;џн— гжеж»;џн— гжеж»
”«бг «бЏ н»н;24;Ќ«—”;51;88.09;0;1;83.07;27.83;9.01;143;18.56;6.15;џн— гжеж»;џн— гжеж»
√Ќгѕ «б—жнбн;19;Ќ«—”;50;63.83;7;0;59.83;31.90;9.37;145;37.35;4.86;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «бЏд“н;22;ѕЁ«Џ;84;61.32;10;0;84.42;24.82;10.32;153;47.62;9.11;гжеж»;гжеж»
—«я«д «бЌ—»н;17;Ќ«—”;51;63.82;9;0;80.04;32.90;10.94;171;41.33;9.28;гжеж»;гжеж»
д«’— «бЏд“н;21;ећжг;22;65.37;0;0;83.82;32.97;9.60;146;16.68;7.86;гжеж»;гжеж»
ќ«бѕ «б—жнбн;21;ж”Ў;30;84.33;2;2;75.03;25.18;6.75;150;24.36;8.81;гжеж»;гжеж»
Џ»ѕ«ббе «б“е—«дн;25;ѕЁ«Џ;35;92.35;0;1;84.58;26.34;6.21;168;20.19;8.93;гжеж»;гжеж»
”Џжѕ «бЌ—»н;26;ѕЁ«Џ;13;68.33;5;2;72.66;30.18;8.18;138;18.61;7.18;гжеж»;гжеж»
д«’— «бџ«гѕн;27;ѕЁ«Џ;77;72.08;1;1;58.68;28.22;6.22;153;24.60;8.46;гжеж»;гжеж»
Џ»ѕ«ббе «б‘г—н;24;ећжг;62;71.76;1;0;56.51;30.14;9.09;148;17.62;5.75;џн— гжеж»;џн— гжеж»
Ёеѕ «бЏ н»н;24;ѕЁ«Џ;60;74.98;7;5;81.41;30.71;11.01;174;27.43;7.88;гжеж»;гжеж»
гЌгѕ «б—жнбн;19;ѕЁ«Џ;81;76.66;4;3;66.04;29.82;7.68;155;48.77;7.41;гжеж»;гжеж»
Ёеѕ «бЌ—»н;28;Ќ«—”;34;74.21;6;4;43.12;27.64;7.93;163;9.31;7.06;гжеж»;гжеж»
”Џжѕ «бЌ—»н;29;Ќ«—”;81;92.46;11;3;56.51;30.17;7.19;161;12.25;5.45;џн— гжеж»;џн— гжеж»
ќ«бѕ «бЌ—»н;26;ж”Ў;19;90.68;4;5;73.96;31.93;7.25;146;40.06;7.66;гжеж»;гжеж»
Ёеѕ «бЏ н»н;26;ж”Ў;13;68.86;6;3;62.43;29.92;9.67;127;30.14;5.16;џн— гжеж»;џн— гжеж»
”«бг «бЏ н»н;19;Ќ«—”;41;75.21;3;0;76.28;27.17;7.72;177;32.81;6.39;џн— гжеж»;џн— гжеж»
ќ«бѕ «б‘г—н;20;ећжг;34;75.64;10;4;46.73;29.36;9.40;141;33.72;4.69;џн— гжеж»;џн— гжеж»
”«бг «бг«бян;17;ѕЁ«Џ;28;81.90;8;1;76.05;31.29;9.13;150;19.69;6.23;џн— гжеж»;џн— гжеж»
”«бг «б»бжн;29;Ќ«—”;76;65.20;2;0;79.13;33.41;8.75;142;44.00;7.89;гжеж»;гжеж»
 —ян «б»бжн;21;ж”Ў;83;71.24;11;2;53.85;31.22;7.88;161;25.97;6.80;џн— гжеж»;џн— гжеж»
√Ќгѕ «б—жнбн;25;Ќ«—”;39;75.56;5;2;43.73;28.71;6.66;150;39.43;4.77;џн— гжеж»;џн— гжеж»
—«я«д «бџ«гѕн;18;ѕЁ«Џ;64;66.77;7;1;66.76;26.93;8.10;143;22.37;5.92;џн— гжеж»;џн— гжеж»
Ёеѕ «б—жнбн;24;ж”Ў;84;86.29;0;0;58.85;31.19;8.73;154;43.14;8.64;гжеж»;гжеж»
√Ќгѕ «б‘г—н;25;ж”Ў;59;73.67;5;0;76.92;32.79;6.20;174;33.09;9.06;гжеж»;гжеж»
√Ќгѕ «бџ«гѕн;25;ж”Ў;81;68.48;8;3;76.17;27.77;10.91;134;13.21;6.68;џн— гжеж»;џн— гжеж»
д«’— «б“е—«дн;15;ж”Ў;13;86.61;2;4;83.73;29.16;8.55;123;14.01;4.89;џн— гжеж»;џн— гжеж»
—«я«д «бёЌЎ«дн;25;ж”Ў;29;63.03;6;4;41.5;30.79;9.68;180;34.72;6.87;џн— гжеж»;џн— гжеж»
”«бг «бг«бян;23;Ќ«—”;19;87.50;7;4;82.27;27.76;7.92;160;12.46;9.29;гжеж»;гжеж»
Ёеѕ «бЏ н»н;25;ећжг;64;85.94;2;1;52.02;25.86;8.48;131;14.58;6.71;џн— гжеж»;џн— гжеж»
”Џжѕ «б»бжн;21;ѕЁ«Џ;49;60.13;0;1;82.02;34.71;9.89;132;19.25;7.70;гжеж»;гжеж»
√Ќгѕ «бџ«гѕн;27;ж”Ў;42;66.57;7;5;45.16;29.07;6.48;164;11.58;5.44;џн— гжеж»;џн— гжеж»
Ёеѕ «б“е—«дн;18;ж”Ў;62;94.75;10;3;69.78;27.80;9.54;120;47.63;6.69;џн— гжеж»;џн— гжеж»
 —ян «б—жнбн;27;ѕЁ«Џ;44;76.07;8;2;76.56;30.53;9.25;143;42.91;7.95;гжеж»;гжеж»
Ёеѕ «б‘г—н;25;ж”Ў;45;64.33;7;3;79.81;27.48;8.77;148;25.28;8.21;гжеж»;гжеж»
”Џжѕ «б“е—«дн;19;ећжг;80;90.60;1;2;45.91;27.39;8.36;171;14.36;7.85;гжеж»;гжеж»
”Џжѕ «б“е—«дн;16;Ќ«—”;51;73.43;11;4;74.71;27.97;9.63;129;26.89;5.81;џн— гжеж»;џн— гжеж»
д«’— «бёЌЎ«дн;18;ж”Ў;44;86.01;1;3;44.22;26.17;7.16;138;49.80;5.50;џн— гжеж»;џн— гжеж»
ќ«бѕ «б»бжн;24;Ќ«—”;55;88.74;5;5;72.38;29.49;6.80;146;32.22;8.48;гжеж»;гжеж»
д«’— «бЏ н»н;23;Ќ«—”;55;93.37;5;3;62.66;32.33;10.48;148;25.61;5.92;џн— гжеж»;џн— гжеж»
”«бг «б“е—«дн;26;ж”Ў;43;74.39;1;1;52.47;29.05;10.44;181;16.82;5.27;џн— гжеж»;џн— гжеж»
д«’— «бЏ н»н;19;ж”Ў;44;66.47;5;2;60.39;32.49;7.95;180;22.84;7.58;гжеж»;гжеж»
”Џжѕ «бЏд“н;25;Ќ«—”;55;62.94;1;3;53.77;28.65;6.53;145;45.75;6.59;џн— гжеж»;џн— гжеж»
”Џжѕ «б—жнбн;16;Ќ«—”;45;73.17;6;1;41.45;24.49;8.20;126;17.80;8.29;гжеж»;гжеж»
—«я«д «бг«бян;25;ећжг;34;60.20;7;4;55.02;30.89;6.54;136;39.22;6.57;џн— гжеж»;џн— гжеж»
”Џжѕ «бЏ н»н;28;Ќ«—”;44;75.53;6;2;57.79;29.83;6.07;129;14.51;8.41;гжеж»;гжеж»
д«’— «б“е—«дн;27;ѕЁ«Џ;23;80.91;6;2;66.84;33.57;10.06;159;14.24;8.68;гжеж»;гжеж»
гЌгѕ «б“е—«дн;28;ѕЁ«Џ;59;89.96;10;5;81.22;33.71;8.91;172;29.01;4.82;џн— гжеж»;џн— гжеж»
—«я«д «б—жнбн;17;ѕЁ«Џ;51;86.74;7;3;70.03;25.01;9.79;168;28.47;9.20;гжеж»;гжеж»
гЌгѕ «бџ«гѕн;24;ећжг;32;60.01;12;6;76.85;29.04;5.98;133;31.11;6.70;џн— гжеж»;џн— гжеж»
—«я«д «бг«бян;19;ећжг;68;73.60;11;5;81.44;30.69;10.86;172;24.47;9.03;гжеж»;гжеж»
 —ян «бг«бян;22;Ќ«—”;87;74.82;6;1;58.28;28.73;8.61;173;44.59;5.58;џн— гжеж»;џн— гжеж»
”«бг «бЏ н»н;16;Ќ«—”;19;74.82;8;1;40.43;29.86;11.35;173;50.02;9.33;гжеж»;гжеж»
”«бг «бџ«гѕн;22;ж”Ў;33;67.03;6;3;72.89;24.29;11.77;174;25.79;7.01;гжеж»;гжеж»
гЌгѕ «б“е—«дн;27;ећжг;10;84.75;5;3;49.15;30.74;8.09;129;30.06;9.75;гжеж»;гжеж»
”Џжѕ «бџ«гѕн;21;Ќ«—”;58;76.51;8;1;56.96;30.08;8.73;132;23.59;7.86;гжеж»;гжеж»
ќ«бѕ «б“е—«дн;18;ѕЁ«Џ;38;72.53;7;2;53.26;30.96;8.56;148;19.60;4.85;џн— гжеж»;џн— гжеж»
”«бг «бЏд“н;22;Ќ«—”;14;73.87;1;1;79.45;28.73;7.69;123;30.18;4.80;џн— гжеж»;џн— гжеж»
Ёеѕ «бЏд“н;28;Ќ«—”;12;91.65;0;2;77.31;30.95;8.47;118;27.47;7.31;гжеж»;гжеж»
ќ«бѕ «б“е—«дн;17;Ќ«—”;62;84.96;7;4;60.08;33.41;8.93;122;13.47;8.42;гжеж»;гжеж»
д«’— «бЏ н»н;20;ѕЁ«Џ;34;66.69;1;1;76.49;27.13;8.94;177;42.11;6.51;џн— гжеж»;џн— гжеж»
—«я«д «бЏ н»н;19;Ќ«—”;27;73.92;3;3;54.02;30.75;8.77;148;42.70;6.33;џн— гжеж»;џн— гжеж»
”Џжѕ «б“е—«дн;28;ѕЁ«Џ;22;73.95;3;2;65.17;30.72;6.80;157;34.39;4.14;џн— гжеж»;џн— гжеж»
гЌгѕ «бг«бян;24;Ќ«—”;70;94.22;4;0;67.09;29.74;8.88;145;34.74;6.95;гжеж»;џн— гжеж»
гЌгѕ «бёЌЎ«дн;30;ѕЁ«Џ;24;63.18;4;0;48.43;33.84;7.67;133;21.72;6.87;гжеж»;џн— гжеж»
Џ»ѕ«ббе «б»бжн;18;ж”Ў;49;75.19;6;2;84.16;31.92;7.81;180;24.38;8.24;гжеж»;гжеж»
ќ«бѕ «б—жнбн;24;ж”Ў;69;90.17;4;1;65.5;25.05;5.91;180;45.52;7.91;гжеж»;гжеж»
Џ»ѕ«ббе «бг«бян;18;ѕЁ«Џ;69;84.49;9;2;45.07;28.03;11.19;129;29.04;9.37;гжеж»;гжеж»
”«бг «б»бжн;30;ж”Ў;78;74.25;2;0;59.32;32.80;11.23;144;40.15;8.82;гжеж»;гжеж»
Џ»ѕ«ббе «б—жнбн;20;ећжг;75;74.92;10;3;84.49;29.90;10.06;175;23.02;5.34;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «б»бжн;23;ећжг;32;60.80;0;0;63.77;25.57;9.03;128;15.92;4.94;џн— гжеж»;џн— гжеж»
”Џжѕ «б‘г—н;24;ж”Ў;80;78.93;9;0;81.16;23.89;11.46;124;33.17;6.88;гжеж»;џн— гжеж»
Џ»ѕ«ббе «бёЌЎ«дн;21;ећжг;74;61.71;11;2;82.25;31.94;9.99;125;13.43;7.85;гжеж»;гжеж»
”«бг «бЌ—»н;17;ећжг;67;75.75;0;1;80.15;27.89;10.09;130;39.69;7.42;гжеж»;гжеж»
д«’— «бЏ н»н;20;Ќ«—”;32;78.06;12;3;82.59;25.07;6.70;177;23.89;5.03;џн— гжеж»;џн— гжеж»
 —ян «бёЌЎ«дн;18;Ќ«—”;61;69.41;4;6;53.73;25.13;7.12;150;35.54;7.00;гжеж»;гжеж»
√Ќгѕ «б—жнбн;19;ећжг;48;82.22;2;1;71.61;25.06;11.21;153;23.19;6.34;џн— гжеж»;џн— гжеж»
гЌгѕ «бёЌЎ«дн;24;Ќ«—”;38;84.72;0;0;78.04;32.61;10.53;146;40.16;5.65;џн— гжеж»;џн— гжеж»
гЌгѕ «б‘г—н;20;Ќ«—”;54;80.28;6;3;49.68;26.92;10.33;120;41.81;5.18;џн— гжеж»;џн— гжеж»
 —ян «бг«бян;22;ѕЁ«Џ;90;85.41;2;0;80.66;24.58;7.21;180;10.02;7.80;гжеж»;гжеж»
д«’— «бЏ н»н;17;ж”Ў;57;76.54;7;4;69.25;31.26;8.36;176;36.51;9.48;гжеж»;гжеж»
гЌгѕ «б“е—«дн;27;ѕЁ«Џ;30;75.01;4;1;66.26;33.75;7.50;152;26.17;7.61;гжеж»;гжеж»
√Ќгѕ «бЌ—»н;19;ећжг;63;84.28;9;4;50;29.29;5.77;125;36.61;9.43;гжеж»;гжеж»
”«бг «б‘г—н;21;Ќ«—”;88;80.78;4;2;63.6;32.48;8.04;179;38.07;8.08;гжеж»;гжеж»
”Џжѕ «б—жнбн;20;ећжг;31;63.41;8;0;56.88;32.52;7.12;173;26.94;4.36;џн— гжеж»;џн— гжеж»
√Ќгѕ «б‘г—н;28;ѕЁ«Џ;77;68.00;3;0;72.45;24.45;10.66;163;35.94;7.19;гжеж»;гжеж»
гЌгѕ «бЌ—»н;18;ж”Ў;21;62.59;10;1;70.8;32.39;6.89;141;45.45;8.05;гжеж»;гжеж»
 —ян «бџ«гѕн;19;ећжг;85;83.58;3;0;83.16;29.41;10.75;176;17.80;7.83;гжеж»;гжеж»
Ёеѕ «бЌ—»н;20;ж”Ў;20;63.13;4;2;76.09;28.86;9.09;134;19.63;6.10;џн— гжеж»;џн— гжеж»
”Џжѕ «бг«бян;24;Ќ«—”;75;86.40;0;1;86.4;24.37;8.15;178;17.24;7.69;гжеж»;гжеж»
 —ян «б»бжн;24;Ќ«—”;64;85.90;3;1;52.71;29.26;6.50;177;50.73;8.12;гжеж»;гжеж»
д«’— «бЌ—»н;25;ећжг;17;94.27;5;6;67.66;26.13;11.02;128;32.21;8.82;гжеж»;гжеж»
Џ»ѕ«ббе «б»бжн;23;ж”Ў;87;87.40;5;2;72.25;34.03;6.01;138;15.75;5.48;џн— гжеж»;џн— гжеж»
”Џжѕ «бџ«гѕн;18;ећжг;53;87.66;3;0;89.72;28.92;8.77;146;23.27;5.53;џн— гжеж»;џн— гжеж»
 —ян «бЏд“н;25;Ќ«—”;80;75.09;1;2;50.24;29.08;10.30;177;45.70;6.75;гжеж»;џн— гжеж»
гЌгѕ «б—жнбн;25;ѕЁ«Џ;76;67.46;3;1;55.2;28.16;6.11;138;42.13;5.52;џн— гжеж»;џн— гжеж»
д«’— «бг«бян;18;ѕЁ«Џ;42;87.43;0;1;52.26;33.13;10.52;142;11.43;8.07;гжеж»;гжеж»
”Џжѕ «бёЌЎ«дн;23;Ќ«—”;79;68.69;4;3;88.63;26.97;9.06;163;41.10;7.76;гжеж»;гжеж»
гЌгѕ «бЏ н»н;24;ећжг;57;87.64;1;0;88.91;31.81;8.25;131;16.32;8.92;гжеж»;гжеж»
Ёеѕ «бЏ н»н;27;ѕЁ«Џ;41;89.82;0;0;46.68;27.51;7.30;156;11.94;9.07;гжеж»;гжеж»
гЌгѕ «б»бжн;27;ећжг;17;90.69;8;6;54.61;31.61;9.60;180;21.94;6.59;џн— гжеж»;џн— гжеж»
”Џжѕ «бёЌЎ«дн;19;Ќ«—”;87;70.90;3;1;75.37;32.10;8.22;136;23.91;5.44;џн— гжеж»;џн— гжеж»
”«бг «б“е—«дн;27;ж”Ў;85;75.61;7;1;87.59;25.58;11.23;128;40.73;7.89;гжеж»;гжеж»
 —ян «бЏд“н;21;Ќ«—”;90;89.53;0;0;62.13;24.98;11.16;164;11.93;4.89;џн— гжеж»;џн— гжеж»
ќ«бѕ «б‘г—н;21;ећжг;34;86.09;6;0;42.91;25.35;10.62;151;31.30;4.18;џн— гжеж»;џн— гжеж»
 —ян «бЌ—»н;23;Ќ«—”;50;75.41;6;3;89.96;25.51;9.13;155;14.50;4.85;џн— гжеж»;џн— гжеж»
ќ«бѕ «бг«бян;20;Ќ«—”;78;77.35;10;2;53.77;30.52;11.20;176;34.42;7.27;џн— гжеж»;гжеж»
гЌгѕ «бЏд“н;22;ѕЁ«Џ;36;86.61;0;0;74.34;32.97;7.24;146;21.01;8.37;гжеж»;гжеж»
Џ»ѕ«ббе «бЏд“н;24;ећжг;35;79.42;9;5;72.06;27.77;10.60;183;37.52;6.28;џн— гжеж»;џн— гжеж»
√Ќгѕ «бЏ н»н;21;ѕЁ«Џ;84;60.23;1;1;44.5;32.36;10.46;163;9.46;7.61;гжеж»;гжеж»
д«’— «б—жнбн;24;ећжг;40;66.14;7;1;55.47;27.77;10.23;174;17.08;7.76;гжеж»;гжеж»
—«я«д «б»бжн;26;ѕЁ«Џ;14;85.62;10;1;62.26;24.90;6.98;174;27.64;6.15;џн— гжеж»;џн— гжеж»
√Ќгѕ «бЏд“н;25;ж”Ў;76;91.57;7;2;58.63;30.13;7.17;129;46.43;6.73;џн— гжеж»;џн— гжеж»
”«бг «б“е—«дн;22;Ќ«—”;50;81.05;1;1;81.92;28.17;8.28;141;34.27;8.38;гжеж»;гжеж»
 —ян «бЏд“н;18;ж”Ў;52;84.64;2;1;45.89;27.92;9.51;135;41.44;7.54;гжеж»;гжеж»
—«я«д «бЏ н»н;16;Ќ«—”;17;75.72;0;0;45.99;28.71;11.07;146;46.48;4.57;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «б‘г—н;24;ѕЁ«Џ;38;91.65;3;2;40.38;28.79;10.82;174;36.65;5.21;џн— гжеж»;џн— гжеж»
”«бг «б»бжн;19;ѕЁ«Џ;65;85.04;10;4;51.27;23.75;9.21;145;10.33;4.71;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «бџ«гѕн;29;ѕЁ«Џ;62;92.81;5;2;78.33;23.63;8.78;160;36.87;6.37;џн— гжеж»;џн— гжеж»
”Џжѕ «бЏ н»н;23;Ќ«—”;17;68.28;8;6;49.42;24.13;6.14;161;15.73;6.17;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «б‘г—н;25;ѕЁ«Џ;45;66.37;8;1;49.93;25.70;8.26;167;21.80;9.45;гжеж»;гжеж»
”«бг «бёЌЎ«дн;17;ећжг;72;77.00;6;5;84.49;24.45;8.39;158;47.28;5.35;џн— гжеж»;џн— гжеж»
